#{"t_start": 1775671274.0139737, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-52.136581,1,5.7958
-52.451737,1,8.415023
-56.369744,19,11.260593
-52.959024,1,13.851009
-53.065355,1,16.402107
-53.14814,1,19.017357
-53.274805,1,21.635659
-53.360419,1,24.237868
-53.398823,1,26.869774
-53.411338,1,26.959254
-53.413162,1,27.060299
-53.396051,1,27.285789
-55.211567,10,27.764271
-53.4379,1,27.868787
-53.40095,1,28.065775
-53.465969,1,28.295795
-53.447771,1,28.429384
-56.054174,15,28.762333
-53.460313,1,28.912817
-53.485075,1,29.034408
-53.46891,1,29.185876
-53.476245,1,29.349027
-56.695838,17,29.751331
-53.445818,1,29.878878
-53.439112,1,30.030611
-53.484517,1,32.572077
-54.161533,5,32.755151
-53.502406,1,32.931368
-53.507205,1,33.103734
-53.516849,1,33.268975
-53.517631,1,33.411443
-53.512478,1,33.547246
-53.70333,2,33.752731
-53.533168,1,33.920506
-53.53779,1,34.08746
-53.544818,1,34.271383
-53.524913,1,34.368128
-53.497879,1,34.518548
-53.523387,1,34.736736
-53.529203,1,37.415751
-59.174519,27,40.252347
-53.59264,1,42.845312
-53.567364,1,42.94024
-55.769038,10,43.264902
-53.605196,1,43.35467
-53.553857,1,43.440506
-53.589526,1,43.59175
-53.55539,1,43.758714
-53.57774,1,43.875932
-53.589055,1,44.015948
-54.441405,5,44.262869
-53.600248,1,44.35358
-53.577655,1,44.501522
-53.566439,1,44.633788
-53.5805,1,44.826873
-53.58056,1,45.001397
-55.911288,11,45.26266
-53.59867,1,47.867548
-53.600717,1,48.02102
-53.607807,1,48.171954
-53.645433,1,48.316436
-53.640248,1,48.464333
-53.60219,1,48.617362
-53.603431,1,48.753449
-53.639672,1,48.912818
-53.640184,1,49.078089
-53.639065,1,49.266782
-53.622364,1,49.378484
-53.55731,1,51.972407
-57.193821,16,54.760023
-53.581957,1,57.339127
-53.541612,1,57.447477
-56.534059,12,57.756024
-53.534286,1,60.24381
-53.57022,1,60.33043
-53.576282,1,60.418149
-53.572852,1,60.580018
-54.365408,4,60.756258
-53.57821,1,60.88512
-53.568572,1,61.058232
-53.579636,1,61.196105
-53.586356,1,61.364662
-53.533206,1,63.971326
-53.546201,1,66.487436
-53.545357,1,66.561502
-53.564251,1,66.661559
-53.546227,1,66.826352
-53.579586,1,66.980884
-53.506726,1,69.662153
-53.517523,1,69.789495
-53.517277,1,70.041624
-53.51024,1,70.199556
-53.481677,1,72.712778
-53.467589,1,72.883495
-53.486354,1,73.067532
-53.490506,1,73.230727
-56.231282,13,73.770941
-53.434175,1,73.983275
-58.937755,21,76.758838
-53.505162,1,76.826987
-53.513673,1,76.95931
-53.507424,1,77.111773
-53.4929,1,77.317759
-56.579629,16,77.890298
-53.499408,1,78.02278
-53.486457,1,78.14271
-53.497363,1,80.778018
-53.480975,1,80.858367
-53.511292,1,80.986615
-53.529918,1,81.134063
-53.546228,1,81.288135
-53.522048,1,81.421442
-53.569595,1,81.594086
-53.851543,2,81.756025
-53.60377,1,81.87713
-53.60681,1,82.029685
-53.625289,1,82.218523
-53.651637,1,82.378631
-53.649393,1,82.571112
-53.66499,1,82.809284
-53.684717,1,82.953299
-53.873092,1,85.529836
-55.441387,9,88.254889
-53.876558,1,90.836969
-53.822347,1,93.465008
-58.272318,20,96.264944
-53.754636,1,96.320657
-53.728864,1,98.915453
-53.735136,1,99.012305
-54.659398,5,99.265785
-53.733974,1,99.33574
-53.740304,1,99.490154
-53.738701,1,99.659981
-53.722303,1,99.820648
-53.755982,1,100.02314
-53.679878,1,102.636211
-53.576356,1,105.176915
-53.442146,1,107.776268
-53.361123,1,110.347834
-53.314878,1,112.928782
-53.298961,1,115.465448
-53.260575,1,118.105098
