#{"t_start": 1777381540.205219, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-50.1,1,3.400221
-937.147886,4096,50.415421
-1937.433209,4132,93.64711
-4196.004614,4061,137.880688
-4997.902364,4190,188.536304
-3496.357128,3410,228.371075
99.9,1,228.480774
99.9,1,228.574818
99.9,1,228.72854
99.9,1,228.858832
99.9,1,229.005549
99.9,1,229.143263
99.9,1,229.282828
99.9,1,229.434855
99.9,1,229.564674
99.9,1,229.690481
99.9,1,229.864079
99.9,1,230.013333
99.9,1,230.172676
19.667153,42,230.618952
99.9,1,230.701637
99.9,1,230.799083
99.9,1,230.928186
99.9,1,231.05777
99.9,1,231.213085
99.9,1,231.388304
99.9,1,231.515169
99.9,1,231.680716
99.9,1,231.823914
99.9,1,231.987575
99.9,1,232.151875
99.9,1,232.351662
99.9,1,232.52289
99.9,1,232.685836
99.9,1,233.026813
99.9,1,233.27007
99.9,1,233.514431
99.9,1,233.71459
-2690.807562,2232,255.001204
-1439.02336,4278,305.858525
-4060.543183,4022,353.703741
-2663.631067,2274,392.016277
-1640.592144,1826,419.689745
-2005.396247,2270,454.444164
-2760.839038,2569,483.831654
-1056.315315,1575,510.403387
-976.202346,1677,537.302905
-1272.853427,1963,561.540232
-1494.477983,1763,585.262254
-1474.19078,1907,616.210752
-3875.470763,3134,661.137361
-856.531944,1182,687.2467
-1152.324687,1637,709.906326
-3454.155497,2873,743.011275
-1033.296712,1389,762.449563
-2196.861717,2248,789.584772
-5567.335917,4129,839.234404
-5107.522033,3723,889.770125
99.9,1,889.851003
99.9,1,889.947551
99.9,1,890.089653
99.1,2,890.291497
99.9,1,890.496851
99.9,1,890.674363
99.9,1,890.932913
99.9,1,891.156893
99.9,1,891.355085
99.9,1,891.535672
99.9,1,891.733443
-1442.491475,2149,912.375349
-1036.083254,1553,946.182711
-960.326873,1374,969.628893
-795.178233,1190,993.353809
-1028.62189,1503,1020.241076
-3492.848261,3858,1065.987315
466.684481,4056,1202.975189
